n_iter,roc_auc_selector,mcc_selector,accuracy_selector,precision_selector,recall_selector,f1_score_selector,id_add,acquisition_add,id_forget,acquisition_forget,id_prior_al
0,0.4651674297513242,-0.051525408538115894,0.42063492063492064,0.47210134755755195,0.4762097136188168,0.41503020881178676,[350],[0.9999998807907104],[],[],"[130, 689]"
1,,,,,,,[206],[0.999869704246521],[],[],"[130, 689, 350]"
2,,,,,,,[810],[0.8029376864433289],[],[],"[130, 689, 350, 206]"
3,,,,,,,[1202],[0.9955113530158997],[],[],"[130, 689, 350, 206, 810]"
4,,,,,,,[1215],[0.9907572269439697],[],[],"[130, 689, 350, 206, 810, 1202]"
5,,,,,,,[917],[0.9998911023139954],[],[],"[130, 689, 350, 206, 810, 1202, 1215]"
6,,,,,,,[1108],[0.9999615550041199],[],[],"[130, 689, 350, 206, 810, 1202, 1215, 917]"
7,,,,,,,[602],[0.9999998807907104],[],[],"[130, 689, 350, 206, 810, 1202, 1215, 917, 1108]"
8,,,,,,,[1058],[0.9999975562095642],[],[],"[130, 689, 350, 206, 810, 1202, 1215, 917, 1108, 602]"
9,,,,,,,[1376],[0.9999997615814209],[],[],"[130, 689, 350, 206, 810, 1202, 1215, 917, 1108, 602, 1058]"
10,0.5693883352784511,0.11586747030840769,0.6137566137566137,0.5655320289466631,0.5512164467187359,0.5460318504869703,[886],[0.9999908208847046],[],[],"[130, 689, 350, 206, 810, 1202, 1215, 917, 1108, 602, 1058, 1376]"
11,,,,,,,[284],[0.9999688267707825],[],[],"[130, 689, 350, 206, 810, 1202, 1215, 917, 1108, 602, 1058, 1376, 886]"
12,,,,,,,[363],[1.0],[],[],"[130, 689, 350, 206, 810, 1202, 1215, 917, 1108, 602, 1058, 1376, 886, 284]"
13,,,,,,,[654],[0.9999398589134216],[],[],"[130, 689, 350, 206, 810, 1202, 1215, 917, 1108, 602, 1058, 1376, 886, 284, 363]"
14,,,,,,,[1312],[0.9999752640724182],[],[],"[130, 689, 350, 206, 810, 1202, 1215, 917, 1108, 602, 1058, 1376, 886, 284, 363, 654]"
15,,,,,,,[859],[0.9997976422309875],[],[],"[130, 689, 350, 206, 810, 1202, 1215, 917, 1108, 602, 1058, 1376, 886, 284, 363, 654, 1312]"
16,,,,,,,[394],[0.9999974370002747],[],[],"[130, 689, 350, 206, 810, 1202, 1215, 917, 1108, 602, 1058, 1376, 886, 284, 363, 654, 1312, 859]"
17,,,,,,,[993],[0.9996742010116577],[],[],"[130, 689, 350, 206, 810, 1202, 1215, 917, 1108, 602, 1058, 1376, 886, 284, 363, 654, 1312, 859, 394]"
18,,,,,,,[432],[0.9999995231628418],[],[],"[130, 689, 350, 206, 810, 1202, 1215, 917, 1108, 602, 1058, 1376, 886, 284, 363, 654, 1312, 859, 394, 993]"
19,,,,,,,[1233],[0.9999743700027466],[],[],"[130, 689, 350, 206, 810, 1202, 1215, 917, 1108, 602, 1058, 1376, 886, 284, 363, 654, 1312, 859, 394, 993, 432]"
20,0.6108791932250053,0.18332495961798365,0.6256613756613757,0.5939422752025397,0.5894380105934105,0.5906829030314045,[1205],[0.9998404383659363],[],[],"[130, 689, 350, 206, 810, 1202, 1215, 917, 1108, 602, 1058, 1376, 886, 284, 363, 654, 1312, 859, 394, 993, 432, 1233]"
21,,,,,,,[549],[0.9999961853027344],[],[],"[130, 689, 350, 206, 810, 1202, 1215, 917, 1108, 602, 1058, 1376, 886, 284, 363, 654, 1312, 859, 394, 993, 432, 1233, 1205]"
22,,,,,,,[560],[0.9999964833259583],[],[],"[130, 689, 350, 206, 810, 1202, 1215, 917, 1108, 602, 1058, 1376, 886, 284, 363, 654, 1312, 859, 394, 993, 432, 1233, 1205, 549]"
23,,,,,,,[989],[0.9999942779541016],[],[],"[130, 689, 350, 206, 810, 1202, 1215, 917, 1108, 602, 1058, 1376, 886, 284, 363, 654, 1312, 859, 394, 993, 432, 1233, 1205, 549, 560]"
24,,,,,,,[1461],[0.999883770942688],[],[],"[130, 689, 350, 206, 810, 1202, 1215, 917, 1108, 602, 1058, 1376, 886, 284, 363, 654, 1312, 859, 394, 993, 432, 1233, 1205, 549, 560, 989]"
25,,,,,,,[427],[0.9999990463256836],[],[],"[130, 689, 350, 206, 810, 1202, 1215, 917, 1108, 602, 1058, 1376, 886, 284, 363, 654, 1312, 859, 394, 993, 432, 1233, 1205, 549, 560, 989, 1461]"
26,,,,,,,[474],[0.9996638894081116],[],[],"[130, 689, 350, 206, 810, 1202, 1215, 917, 1108, 602, 1058, 1376, 886, 284, 363, 654, 1312, 859, 394, 993, 432, 1233, 1205, 549, 560, 989, 1461, 427]"
27,,,,,,,[437],[0.999691903591156],[],[],"[130, 689, 350, 206, 810, 1202, 1215, 917, 1108, 602, 1058, 1376, 886, 284, 363, 654, 1312, 859, 394, 993, 432, 1233, 1205, 549, 560, 989, 1461, 427, 474]"
28,,,,,,,[625],[0.9992550015449524],[],[],"[130, 689, 350, 206, 810, 1202, 1215, 917, 1108, 602, 1058, 1376, 886, 284, 363, 654, 1312, 859, 394, 993, 432, 1233, 1205, 549, 560, 989, 1461, 427, 474, 437]"
29,,,,,,,[829],[0.9999998807907104],[],[],"[130, 689, 350, 206, 810, 1202, 1215, 917, 1108, 602, 1058, 1376, 886, 284, 363, 654, 1312, 859, 394, 993, 432, 1233, 1205, 549, 560, 989, 1461, 427, 474, 437, 625]"
