n_iter,roc_auc_selector,mcc_selector,accuracy_selector,precision_selector,recall_selector,f1_score_selector,id_add,acquisition_add,id_forget,acquisition_forget,id_prior_al
0,0.7693777721853472,0.3666330710729399,0.7596059113300493,0.6791468885817862,0.6875832310967106,0.682984649729143,[245],[0.9999998211860657],[],[],"[625, 727]"
1,,,,,,,[722],[0.9998942017555237],[],[],"[625, 727, 245]"
2,,,,,,,[1196],[0.9999998211860657],[],[],"[625, 727, 245, 722]"
3,,,,,,,[1926],[0.9999923706054688],[],[],"[625, 727, 245, 722, 1196]"
4,,,,,,,[844],[0.9999960064888],[],[],"[625, 727, 245, 722, 1196, 1926]"
5,,,,,,,[446],[1.0],[],[],"[625, 727, 245, 722, 1196, 1926, 844]"
6,,,,,,,[1280],[0.9999998807907104],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446]"
7,,,,,,,[736],[0.9999637603759766],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280]"
8,,,,,,,[259],[0.9999921321868896],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736]"
9,,,,,,,[1813],[1.0],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259]"
10,0.6246212002055218,0.31092308396583307,0.7842364532019704,0.7244535519125683,0.6076761353508027,0.6211066205986681,[2029],[0.9999323487281799],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813]"
11,,,,,,,[757],[0.9999743103981018],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029]"
12,,,,,,,[553],[0.9999933242797852],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757]"
13,,,,,,,[1394],[0.9999979138374329],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553]"
14,,,,,,,[1327],[0.9999198317527771],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394]"
15,,,,,,,[1421],[0.9999978542327881],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327]"
16,,,,,,,[872],[0.9993857145309448],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421]"
17,,,,,,,[894],[0.999959409236908],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872]"
18,,,,,,,[734],[0.9999986290931702],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894]"
19,,,,,,,[1043],[0.999989926815033],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734]"
20,0.7262339173928088,0.4585383448066939,0.8216748768472907,0.8012381883349625,0.6744943219352606,0.7027558768471074,[1659],[0.9998283386230469],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043]"
21,,,,,,,[2008],[0.999997615814209],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659]"
22,,,,,,,[778],[0.9939425587654114],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008]"
23,,,,,,,[801],[0.9997249245643616],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008, 778]"
24,,,,,,,[2026],[0.9998748898506165],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008, 778, 801]"
25,,,,,,,[812],[0.9997500777244568],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008, 778, 801, 2026]"
26,,,,,,,[1033],[0.9998929500579834],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008, 778, 801, 2026, 812]"
27,,,,,,,[576],[0.9997124671936035],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008, 778, 801, 2026, 812, 1033]"
28,,,,,,,[59],[0.9880220293998718],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008, 778, 801, 2026, 812, 1033, 576]"
29,,,,,,,[371],[0.99998539686203],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008, 778, 801, 2026, 812, 1033, 576, 59]"
30,0.7277596023781813,0.4861590254351988,0.8295566502463054,0.8338178294573644,0.6770056728218357,0.7085603700525636,[826],[0.9998923540115356],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008, 778, 801, 2026, 812, 1033, 576, 59, 371]"
31,,,,,,,[1913],[0.9981690049171448],[],[],"[625, 727, 245, 722, 1196, 1926, 844, 446, 1280, 736, 259, 1813, 2029, 757, 553, 1394, 1327, 1421, 872, 894, 734, 1043, 1659, 2008, 778, 801, 2026, 812, 1033, 576, 59, 371, 826]"
